escenario,n_yes,n_no,media_yes,media_no,diferencia_media_yes_no,cohens_d,p_value_welch_unilateral,ic95_li_diferencia_mediana,ic95_ls_diferencia_mediana
Original,30913,107670,68.80001940931,46.51062505804774,22.28939435126226,1.1975113856655384,0.0,,
Filtro IQR por grupo,30694,107670,69.20130970222193,46.51062505804774,22.690684644174198,1.2270852576526852,0.0,,
Winsorización 1 %-99 % por grupo,30913,107670,68.84941610325752,46.479474319680506,22.36994178357702,1.2129906307873162,0.0,,
Diferencia de medianas bootstrap,30913,107670,70.0,47.0,23.0,,,22.0,23.0
