variable,variable_objetivo,correlacion_pearson_s1,ic_bootstrap_95_li,ic_bootstrap_95_ls,ancho_ic_bootstrap,n_pares_validos,n_remuestras,estable_95,interpretacion_operativa
Humidity3pm,RainTomorrow_bin,0.44616037879132964,0.44184389016604714,0.4505300831276692,0.008686192961622041,138583,10000,True,estable
RainToday_bin,RainTomorrow_bin,0.3130967455088831,0.3074055297765413,0.31893180946995947,0.011526279693418184,140787,10000,True,estable
Rainfall,RainTomorrow_bin,0.23903180145061284,0.23199157345669436,0.2463028666532771,0.014311293196582753,140787,10000,True,estable
Pressure3pm,RainTomorrow_bin,-0.22603114552541187,-0.23135448431156347,-0.2206591668517499,0.010695317459813558,128212,10000,True,estable
MaxTemp,RainTomorrow_bin,-0.1592366641493436,-0.16434732256328227,-0.15432337570271693,0.010023946860565347,141871,10000,True,estable
