parametro,estimacion_s1,ic_clasico_95_li,ic_clasico_95_ls,ic_percentil_95_li,ic_percentil_95_ls,ic_bca_95_li,ic_bca_95_ls,media_bootstrap,error_estandar_bootstrap,n_remuestras,ancho_ic_clasico,ancho_ic_percentil,ancho_ic_bca
Media global de Humidity3pm,51.482606091656265,51.37310619370479,51.59210598960774,51.37233895932402,51.59145115201721,51.37237549408731,51.591498565947305,51.48259218085912,0.05577974380176184,10000,0.2189997959029455,0.2191121926931885,0.2191230718599968
Media de Humidity3pm | RainTomorrow = No,46.51062505804774,46.40018408735813,46.621066028737346,46.40061043001765,46.62229149252345,46.400431752626304,46.62206161491025,46.51086969815176,0.05633927427910585,10000,0.22088194137921846,0.22168106250580166,0.22162986228394743
Media de Humidity3pm | RainTomorrow = Yes,68.80001940931,68.5877915688446,69.0122472497754,68.59072073237797,69.01106815902693,68.59294550003712,69.01204238967475,68.79988336298644,0.10775273223203279,10000,0.4244556809308051,0.4203474266489593,0.41909688963762903
Diferencia de medias Humidity3pm: Yes - No,22.28939435126226,22.050152012229145,22.528636690295375,22.047733980295607,22.52590231334266,22.05106431307579,22.529908778200316,22.287010998614043,0.12307403168474972,10000,0.47848467806623063,0.4781683330470514,0.4788444651245243
Proporción de RainTomorrow = Yes,0.22418121848473554,0.22201357058309593,0.22634886638637516,0.22208547537501847,0.2263613539344412,0.22207844268001942,0.2263472885444431,0.22418936586189192,0.0011052215562431043,10000,0.004335295803279238,0.004275878559422741,0.004268845864423693
